,DateAndTime,Irradiance
809,03-07-2021 19:20,0
810,03-07-2021 19:25,0
811,03-07-2021 19:30,0
812,03-07-2021 19:35,0
813,03-07-2021 19:40,0
814,03-07-2021 19:45,0
815,03-07-2021 19:50,0
816,03-07-2021 19:55,0
817,03-07-2021 20:00,0
818,03-07-2021 20:05,0
819,03-07-2021 20:10,0
820,03-07-2021 20:15,0
821,03-07-2021 20:20,0
822,03-07-2021 20:25,0
823,03-07-2021 20:30,0
824,03-07-2021 20:35,0
825,03-07-2021 20:40,0
826,03-07-2021 20:45,0
827,03-07-2021 20:50,0
828,03-07-2021 20:55,0
829,03-07-2021 21:00,0
830,03-07-2021 21:05,0
831,03-07-2021 21:10,0
832,03-07-2021 21:15,0
833,03-07-2021 21:20,0
834,03-07-2021 21:25,0
835,03-07-2021 21:30,0
836,03-07-2021 21:35,0
837,03-07-2021 21:40,0
838,03-07-2021 21:45,0
839,03-07-2021 21:50,0
840,03-07-2021 21:55,0
841,03-07-2021 22:00,0
842,03-07-2021 22:05,0
843,03-07-2021 22:10,0
844,03-07-2021 22:15,0
845,03-07-2021 22:20,0
846,03-07-2021 22:25,0
